###############################################
#       Resgen Failed Image Loading Log       #
###############################################
ID_NAME 	ID	FILE_PATH	FORCE_TYPE
IMG_ID_CALC_MENU_ICON	42779	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\CALCULATOR\\SB_OCACU.BMP	0
ALARMS_EDIT_SOFTKEY_IMAGEID	43548	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\EMPTYIMAGE.BMP	0
ORGANIZER_MENU_ALARMS_IMAGEID	43550	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\ALARM\\SB_OAM.BMP	0
ORGANIZER_MENU_CALENDER_IMAGEID	43793	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\ORGANIZER\\SB_OCDAR.BMP	0
IMG_SMS_VMAIL_MENUENTRY	45792	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\SB_VOICE.BMP	0
IMG_ID_SMS_PROFILE_NAME	45794	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\PROFILE\\MP_PRO.BMP	0
IMG_ID_SMS_MSG_SETTINGS_MENUENTRY	45793	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\SB_SET.BMP	0
IMG_ID_SMS_PROFILE_SC	45795	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\PROFILE\\MP_PHONE.BMP	0
IMG_ID_SMS_PROFILE_MSG_TYPE	45797	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\PROFILE\\MP_MODE.BMP	0
IMG_ID_SMS_PROFILE_VP	45796	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\PROFILE\\MP_TIME.BMP	0
IMG_SMS_CB_MENUENTRY	45800	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\SB_BROAD.BMP	0
IMG_NEW_SMS_PIC_SUBLCD_MSG	45804	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\SUBLCD\\ACTIVE\\SB_SMS.GIF	0
IMG_MESSAGE_SMS_MENUENTRY	45801	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SMS\\SB_SMS.BMP	0
IMG_NEW_VOICEMAIL_PIC_SUBLCD_MSG	45805	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\SUBLCD\\ACTIVE\\SB_VOCM.GIF	0
IMG_MSG_TB_ICON_VOICEMAIL_L1	45811	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SMS\\SUBMENU\\TB_VOICEMAIL_L1.BMP	0
IMG_MSG_TB_ICON_VOICEMAIL_L2	45812	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SMS\\SUBMENU\\TB_VOICEMAIL_L2.BMP	0
IMG_ID_VDOPLY_OSD_BT_CONNECTING	46323	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\MULTIMEDIA\\BT_CONNECTING.GIF	0
IMG_ID_VDOREC_APP_ICON	46794	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\CAMERA\\SB_VR.BMP	0
IMG_ID_VDOREC_OSD_EV_START	46818	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\CAMERA\\CAMERA\\OSD\\VDO_EMPTY_IMAGE_FILE.BMP	0
IMG_ID_VDOREC_OSD_NIGHT_OFF	46851	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\CAMERA\\CAMERA\\OSD\\NIGHT_OFF.BMP	0
IMG_UM_WRITE_MSG_ID	47298	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_WRITE.BMP	0
IMG_UM_INBOX_ID	47299	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_INBOX.BMP	0
IMG_UM_UNREAD_ICON	47296	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\NCENTER\\ICONS\\ICON_MSG_UNREAD.PNG	0
IMG_UM_UNSENT_ID	47300	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_UNSENT.BMP	0
IMG_UM_SENT_ID	47301	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_SENT.BMP	0
IMG_UM_DELETE_FOLDER_ID	47303	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_DELETE.BMP	0
IMG_UM_DRAFT_ID	47302	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_DRAFTSBOX.BMP	0
IMG_UM_SETTING_ID	47304	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\UNIMESSAGE\\UNI_SET.BMP	0
MAIN_MENU_MATRIX_CONNECTIVITY_ICON	47895	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\MAINMENU\\SLIM_MATRIX\\MM_CN.PNG	0
MAIN_MENU_MATRIX_CONNECTIVITY_ANIMATION	47911	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\MAINMENU\\SLIM_MATRIX\\MM_CN_ANI.PNG	0
MAIN_MENU_TITLE_EMPTY_ICON	47934	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\MAINMENU\\TITLEBAR\\TB_TRANSPARENT.BMP	0
IMG_ID_SETTING_SOUND_EFFECT	48186	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SETTINGS\\SB_SNDEFT.BMP	0
IMG_ID_SETTING_AUDIO_REVERB_EFFECT	48187	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SETTINGS\\SOUNDEFFECT\\ST_AUDIO_REVERB.BMP	0
IMG_NSS_NCENTER	48321	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\NCENTER\\NCENTER.PNG	0
IMG_PHB_SETTINGS	8196	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\PHONEBOOK\\SB_SET.BMP	0
IMG_SI_DOWNLOADING	5493	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\IDLESCREEN\\STATUSICONS\\DOWNLOADING.PNG	4
IMG_SI_DOWNLOAD_COMPLETE	5494	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\IDLESCREEN\\STATUSICONS\\DOWNLOAD_COMPLETE.PNG	1
IMG_SI_DOWNLOAD_ERROR	5495	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\IDLESCREEN\\STATUSICONS\\DOWNLOAD_ERROR.PNG	1
IMG_ID_GPS_SETTING_MENU_ICON	7506	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SETTINGS\\SB_GPSS.BMP	0
